ID,Massif,Route,Start station,Finish station,Train h one way,Walk to start min,Bus min,Km,Ascent m,Terrain,Technical,Season,Quiet 1-5,Confidence,MET,Moving time now h,Moving time fit h,Day length h,Effort points,Hiking difficulty,Technical score,Overall difficulty,Stage,Trip type,kcal 130 kg,kcal 120 kg,kcal 110 kg,kcal 100 kg,Notes,Done,Date done,My rating 1-5
98,Persani,Cheile Rasnoavei scrambling sectors,Rasnov,Rasnov,3.1,20,0,7,350,ROCKY,SCRAMBLE,MAY-OCT,4,M,7,3.33333333333333,2.36666666666667,11.2,10.5,3,6,6,3,1 day,3030,2800,2570,2330,Hands on rock without a rope.,,,
99,Postavaru,Valea Cetatii - Varful Postavaru,Rasnov,Rasnov,3.1,15,0,14,950,TRAIL,NONE,JUN-OCT,4,M,6.3,7.38095238095238,5.23333333333333,15.0809523809524,23.5,6,0,6,3,2 days,6050,5580,5120,4650,Quiet west approach.,,,
100,Bucegi,Valea Glajeriei - Cabana Malaiesti,Rasnov,Rasnov,3.1,25,0,18,1000,TRAIL,NONE,JUN-OCT,4,M,6.3,8.85714285714286,6.28571428571429,16.8904761904762,28,7,0,7,3,2 days,7250,6700,6140,5580,North side of Bucegi. Overnight option.,,,
101,Bucegi,Malaiesti - Hornuri - Varful Omu,Rasnov,Rasnov,3.1,25,0,24,1900,CHAINS,CHAINS,JUL-SEP,4,M,7.5,13.4285714285714,9.51428571428571,21.4619047619048,43,9,5,9,5,2 days,13090,12090,11080,10070,Two-day route. Cables in the Hornuri.,,,
102,Bucegi,Varful Bucsoiu Mare via Malaiesti,Rasnov,Rasnov,3.1,25,0,22,1750,EXPOSED,EXPOSED,JUL-SEP,5,M,7.5,12.3333333333333,8.73809523809524,20.3666666666667,39.5,8,8,8,4,2 days,12030,11100,10180,9250,Exposed ridge. Two days.,,,
103,Persani,Rasnov - Trei Brazi - Predeal,Rasnov,Predeal,3.1,20,0,15,450,FOREST,NONE,ALL,4,M,5.5,6.28571428571429,4.47142857142857,14.152380952381,19.5,5,0,5,2,1 long day,4490,4150,3800,3460,Low crossing between the two valleys.,,,
104,Postavaru,Rasnov - Poiana Brasov,Rasnov,Brasov,3.1,15,0,13,700,FOREST,NONE,ALL,3,M,5.5,6.33333333333333,4.4952380952381,14.0333333333333,20,5,0,5,2,1 long day,4530,4180,3830,3480,Bus down from Poiana to Brasov.,,,
105,Piatra Craiului,Prapastiile Zarnestiului - Cabana Curmatura,Zarnesti,Zarnesti,3.4,40,0,11,650,TRAIL,NONE,MAY-OCT,1,H,6.3,5.52380952380952,3.91904761904762,14.6571428571429,17.5,5,0,5,2,1 long day,4520,4180,3830,3480,The classic. 40 min walk to the gorge.,,,
106,Piatra Craiului,Curmatura - Saua Crapaturii loop,Zarnesti,Zarnesti,3.4,40,0,13,800,ROCKY,STEEP,MAY-OCT,2,H,7,6.61904761904762,4.69523809523809,15.752380952381,21,6,3,6,3,2 days,6020,5560,5100,4630,Loop instead of the same way back.,,,
107,Piatra Craiului,Piatra Mica (1816),Zarnesti,Zarnesti,3.4,40,0,14,900,ROCKY,CHAINS,JUN-OCT,2,H,7,7.23809523809524,5.13333333333333,16.3714285714286,23,6,5,6,3,2 days,6590,6080,5570,5070,Short cabled sections near the top.,,,
108,Piatra Craiului,Varful Turnu (1923),Zarnesti,Zarnesti,3.4,40,0,15,1100,ROCKY,SCRAMBLE,JUN-OCT,3,H,7,8.14285714285714,5.77142857142857,17.2761904761905,26,6,6,6,3,2 days,7410,6840,6270,5700,North end of the ridge.,,,
109,Piatra Craiului,Varful Ascutit via La Lanturi,Zarnesti,Zarnesti,3.4,40,0,17,1350,CHAINS,CHAINS,JUL-SEP,3,M,7.5,9.52380952380952,6.74761904761905,18.6571428571429,30.5,7,5,7,3,2 days,9290,8570,7860,7140,Cables and exposure. Helmet.,,,
110,Piatra Craiului,Zarnesti - Cabana Plaiul Foii,Zarnesti,Zarnesti,3.4,10,0,12,250,ROAD,NONE,ALL,3,H,4.5,4.71428571428571,3.35714285714286,12.847619047619,14.5,4,0,4,2,1 day,2760,2550,2330,2120,Valley road. Flat training walk.,,,
111,Piatra Craiului,Plaiul Foii - Saua Grindului,Zarnesti,Zarnesti,3.4,10,0,20,1300,SCREE,EXPOSED,JUL-SEP,4,V,7.5,10.3809523809524,7.36190476190476,18.5142857142857,33,7,8,8,4,2 days,10120,9340,8560,7790,West face approach. Serious terrain.,,,
112,Piatra Craiului,Vladusca,Zarnesti,Zarnesti,3.4,40,0,14,800,FOREST,NONE,MAY-OCT,5,V,5.5,6.95238095238095,4.93333333333333,16.0857142857143,22,6,0,6,3,2 days,4970,4590,4210,3820,Quiet alternative to the Prapastii.,,,
113,Piatra Craiului,Coltii Chiliilor,Zarnesti,Zarnesti,3.4,40,0,12,700,EXPOSED,SCRAMBLE,JUN-OCT,5,V,7.5,6,4.25714285714286,15.1333333333333,19,5,6,6,3,2 days,5850,5400,4950,4500,"Old route, little walked.",,,
114,Piatra Craiului,Brana Caprelor traverse,Zarnesti,Zarnesti,3.4,40,0,18,1200,EXPOSED,EXPOSED,JUL-SEP,5,V,7.5,9.42857142857143,6.68571428571429,18.5619047619048,30,7,8,8,4,2 days,9190,8490,7780,7070,Alpine traverse. Not for a first season.,,,
115,Piatra Craiului,Curmatura - ridge - Plaiul Foii,Zarnesti,Zarnesti,3.4,40,0,26,1600,EXPOSED,EXPOSED,JUL-SEP,3,M,7.5,13.2380952380952,9.39047619047619,22.3714285714286,42,9,8,9,5,2 days,12910,11910,10920,9930,Two days. The full ridge.,,,
116,Piatra Craiului,Magura village loop,Zarnesti,Zarnesti,3.4,40,0,14,600,FOREST,NONE,ALL,4,M,5.5,6.38095238095238,4.53333333333333,15.5142857142857,20,5,0,5,2,2 days,4560,4210,3860,3510,"Villages and meadows, no exposure.",,,
117,Piatra Craiului,Gura Raului - Padina Popii - Curmatura,Zarnesti,Zarnesti,3.4,30,0,12,750,TRAIL,NONE,JUN-OCT,3,M,6.3,6.14285714285714,4.35714285714286,14.9428571428571,19.5,5,0,5,2,1 long day,5030,4640,4260,3870,Second way up to the cabana.,,,
118,Piatra Craiului,Turnu - Padina Popii loop,Zarnesti,Zarnesti,3.4,40,0,16,1150,ROCKY,SCRAMBLE,JUN-OCT,3,M,7,8.61904761904762,6.10952380952381,17.752380952381,27.5,7,6,7,3,2 days,7840,7240,6640,6030,Full north circuit.,,,
119,Piatra Craiului,Piatra Mica - Curmatura loop,Zarnesti,Zarnesti,3.4,40,0,15,1000,ROCKY,CHAINS,JUN-OCT,2,M,7,7.85714285714286,5.57142857142857,16.9904761904762,25,6,5,6,3,2 days,7150,6600,6050,5500,Both summits in one day.,,,
120,Piatra Craiului,Prapastii in winter (snowshoes),Zarnesti,Zarnesti,3.4,40,0,11,650,TRAIL,STEEP,WINTER,3,M,6.3,5.52380952380952,3.91904761904762,14.6571428571429,17.5,5,3,5,2,1 long day,4520,4180,3830,3480,Avalanche risk above the gorge. Check the bulletin.,,,
121,Piatra Craiului,Padina lui Calinet climbing approach,Zarnesti,Zarnesti,3.4,10,0,18,1100,SCREE,CLIMB,JUL-SEP,5,V,7.5,9.14285714285714,6.48571428571429,17.2761904761905,29,7,9,9,5,2 days,8910,8230,7540,6860,Approach of 3 to 4 h before any climbing.,,,
122,Ciucas,Cheia - Muntele Rosu - Varful Ciucas,Maneciu,Maneciu,2.7,10,35,12,800,ROCKY,STEEP,JUN-OCT,2,H,7,6.28571428571429,4.45714285714286,14.1857142857143,20,5,3,5,2,1 long day,5720,5280,4840,4400,Bus Maneciu to Cheia. Rock towers on top.,,,
123,Ciucas,Cheia - Tigaile Mari - Bratocea,Maneciu,Maneciu,2.7,10,35,14,900,ROCKY,SCRAMBLE,JUN-OCT,3,H,7,7.23809523809524,5.13333333333333,15.1380952380952,23,6,6,6,3,2 days,6590,6080,5570,5070,The rock formations of Ciucas.,,,
124,Ciucas,Cheia - Zaganu - Gropsoarele,Maneciu,Maneciu,2.7,10,35,16,1000,ROCKY,SCRAMBLE,JUN-OCT,3,H,7,8.19047619047619,5.80952380952381,16.0904761904762,26,6,6,6,3,2 days,7450,6880,6310,5730,"Long open ridge, no shade.",,,
125,Ciucas,Cheia - Cabana Ciucas - Saua Tigailor loop,Maneciu,Maneciu,2.7,10,35,13,850,ROCKY,STEEP,JUN-OCT,3,M,7,6.76190476190476,4.7952380952381,14.6619047619048,21.5,6,3,6,3,1 long day,6150,5680,5210,4730,Circuit rather than out and back.,,,
126,Ciucas,Zaganu - Gropsoarele full loop,Maneciu,Maneciu,2.7,10,35,18,1100,ROCKY,SCRAMBLE,JUN-OCT,4,M,7,9.14285714285714,6.48571428571429,17.0428571428571,29,7,6,7,3,2 days,8320,7680,7040,6400,Big day. Check the last bus back.,,,
127,Ciucas,Lacul Maneciu tour,Maneciu,Maneciu,2.7,5,0,9,150,ROAD,NONE,ALL,4,M,4.5,3.42857142857143,2.44285714285714,9.9952380952381,10.5,3,0,3,1,1 day,2010,1850,1700,1540,Flat. Good winter or recovery day.,,,
128,Ciucas,Valea Teleajenului forest walk,Maneciu,Maneciu,2.7,5,0,10,300,FOREST,NONE,ALL,5,V,5.5,4.19047619047619,2.98095238095238,10.7571428571429,13,4,0,4,2,1 day,3000,2770,2540,2300,Straight from the station.,,,
129,Ciucas,Valenii de Munte hill circuit,Valenii de Munte,Valenii de Munte,2.2,10,0,11,400,FOREST,NONE,ALL,5,V,5.5,4.80952380952381,3.41904761904762,10.5428571428571,15,4,0,4,2,1 day,3440,3170,2910,2650,Sub-mountain hills. Verify on a map.,,,
130,Slanic,Muntele de Sare - Grota Miresei,Slanic Prahova,Slanic Prahova,2.5,10,0,5,150,TRAIL,NONE,ALL,2,H,6.3,2.0952380952381,1.49047619047619,8.42857142857143,6.5,2,0,2,1,1 day,1720,1580,1450,1320,Salt mountain. Short and odd-looking.,,,
131,Slanic,Piatra Verde loop,Slanic Prahova,Slanic Prahova,2.5,10,0,8,300,FOREST,NONE,ALL,4,M,5.5,3.52380952380952,2.5047619047619,9.85714285714286,11,3,0,3,1,1 day,2520,2330,2130,1940,Low hills above the town.,,,
132,Slanic,Slanic forest hills long loop,Slanic Prahova,Slanic Prahova,2.5,10,0,12,400,FOREST,NONE,ALL,5,V,5.5,5.14285714285714,3.65714285714286,11.4761904761905,16,5,0,5,2,1 day,3680,3390,3110,2830,Build hours without altitude.,,,
133,Prahova hills,Campina - Valea Doftanei flat walk,Campina,Campina,1.2,10,0,14,200,ROAD,NONE,ALL,4,M,4.5,5.23809523809524,3.73333333333333,8.97142857142857,16,5,0,5,2,1 day,3060,2830,2590,2360,Nearly flat. Good for a 4 h base day.,,,
134,Prahova hills,Muscelul Campinei hills,Campina,Campina,1.2,10,0,10,350,FOREST,NONE,ALL,5,V,5.5,4.33333333333333,3.08095238095238,8.06666666666667,13.5,4,0,4,2,1 day,3100,2860,2620,2380,Local paths. Verify on a map.,,,
135,Prahova hills,Breaza terraces loop,Breaza,Breaza,0,10,0,10,350,FOREST,NONE,ALL,5,V,5.5,4.33333333333333,3.08095238095238,5.66666666666667,13.5,4,0,4,2,1 day,3100,2860,2620,2380,"Open hillsides, wide views of Bucegi.",,,
136,Prahova hills,Comarnic - Secaria hills,Comarnic,Comarnic,1.5,15,0,12,500,FOREST,NONE,ALL,5,V,5.5,5.42857142857143,3.85714285714286,9.92857142857143,17,5,0,5,2,1 day,3880,3580,3280,2990,Very few walkers. Verify the route.,,,
137,Prahova hills,Posada - old Prahova road,Posada,Posada,1.6,5,0,8,200,ROAD,NONE,ALL,5,V,4.5,3.23809523809524,2.3047619047619,7.6047619047619,10,3,0,3,1,1 day,1890,1750,1600,1460,Halt with few trains. Check the timetable.,,,
138,Bucegi west,Pietrosita - Valea Ialomitei to Moroeni,Pietrosita,Pietrosita,2.9,5,0,12,200,ROAD,NONE,ALL,5,V,4.5,4.57142857142857,3.25714285714286,11.5380952380952,14,4,0,4,2,1 day,2670,2470,2260,2060,Flat valley. Train service needs checking.,,,
139,Leaota,Pietrosita - Cheile Orzei,Pietrosita,Pietrosita,2.9,30,0,12,400,TRAIL,NONE,MAY-OCT,5,V,6.3,5.14285714285714,3.65714285714286,12.9428571428571,16,5,0,5,2,1 day,4210,3890,3560,3240,"Small gorge, little visited.",,,
140,Leaota,Varful Leaota (2133),Pietrosita,Pietrosita,2.9,30,40,22,1400,TRAIL,STEEP,JUN-OCT,5,V,6.3,11.3333333333333,8.03809523809524,20.4666666666667,36,8,3,8,4,2 days,9280,8570,7850,7140,Needs a bus to the trailhead. Long day.,,,
141,Bucegi west,Padina - Pestera plateau walk,Pietrosita,Pietrosita,2.9,10,50,16,700,TRAIL,NONE,JUN-OCT,3,M,6.3,7.33333333333333,5.20952380952381,16.1333333333333,23,6,0,6,3,2 days,6010,5540,5080,4620,Bus up the Ialomita valley first.,,,
142,Bucegi west,Cheile Tatarului and Cheile Zanoagei,Pietrosita,Pietrosita,2.9,10,50,12,350,TRAIL,NONE,MAY-OCT,4,M,6.3,5,3.55714285714286,13.8,15.5,4,0,4,2,1 long day,4100,3780,3470,3150,Two gorges in one walk.,,,
143,Bucegi,Babele - Varful Omu,Busteni,Busteni,1.8,0,0,6,350,ROCKY,NONE,JUN-OCT,1,H,7,3,2.12857142857143,7.6,9.5,3,0,3,1,1 day,2730,2520,2310,2100,Plateau segment. Reach Babele first.,,,
144,Bucegi,Babele - Pestera - Padina,Busteni,Busteni,1.8,0,0,8,150,TRAIL,NONE,JUN-OCT,2,H,6.3,3.0952380952381,2.2047619047619,7.69523809523809,9.5,3,0,3,1,1 day,2540,2340,2150,1950,Mostly descent into the Ialomita valley.,,,
145,Bucegi,Pestera - Cheile Horoabei - Cocora,Busteni,Busteni,1.8,0,0,9,400,ROCKY,SCRAMBLE,JUN-OCT,4,M,7,4.14285714285714,2.94285714285714,8.74285714285714,13,4,6,6,3,1 day,3770,3480,3190,2900,Narrow gorge above the monastery.,,,
146,Bucegi,Pestera - Varful Laptici - Varful cu Dor,Busteni,Sinaia,1.8,0,0,14,600,TRAIL,NONE,JUN-OCT,3,M,6.3,6.38095238095238,4.53333333333333,10.9809523809524,20,5,0,5,2,1 day,5230,4820,4420,4020,"Plateau crossing, ends above Sinaia.",,,
147,Bucegi,Omu - Valea Malaiesti - Cabana Malaiesti,Busteni,Rasnov,3.1,0,0,7,100,ROCKY,CHAINS,JUL-SEP,3,M,7,2.61904761904762,1.86666666666667,9.81904761904762,8,2,5,5,2,1 day,2380,2200,2020,1830,1100 m of descent. Cables in the Hornuri.,,,
148,Bucegi,Omu - Bucsoiu ridge - Malaiesti,Busteni,Rasnov,3.1,0,0,9,400,EXPOSED,EXPOSED,JUL-SEP,4,M,7.5,4.14285714285714,2.94285714285714,11.3428571428571,13,4,8,8,4,1 day,4040,3730,3420,3110,Exposed. Only in good weather.,,,
149,Bucegi,Omu - Valea Gaura - Padina Crucii,Busteni,Rasnov,3.1,0,0,12,300,SCREE,EXPOSED,JUL-SEP,5,V,7.5,4.85714285714286,3.45714285714286,12.0571428571429,15,4,8,8,4,1 day,4740,4370,4010,3640,Wild north valley with a waterfall.,,,
150,Bucegi,Piatra Arsa - Babele,Busteni,Busteni,1.8,0,0,6,200,TRAIL,NONE,JUN-OCT,2,H,6.3,2.57142857142857,1.82857142857143,7.17142857142857,8,2,0,2,1,1 day,2110,1940,1780,1620,Easy plateau link on a road.,,,
151,Bucegi,Padina - Varful Obarsia - Omu,Pietrosita,Busteni,2.9,10,50,14,900,TRAIL,NONE,JUL-SEP,4,M,6.3,7.23809523809524,5.13333333333333,16.0380952380952,23,6,0,6,3,2 days,5930,5470,5020,4560,West approach to the highest point.,,,
152,Bucegi,Pestera - Cheile Ursilor - Doamnele,Pietrosita,Pietrosita,2.9,10,50,10,500,ROCKY,SCRAMBLE,JUN-OCT,5,V,7,4.76190476190476,3.38095238095238,13.5619047619048,15,4,6,6,3,1 long day,4330,4000,3670,3330,Quiet gorge system. Verify access.,,,
153,Intorsurii,Clabucetele Intorsurii,Intorsura Buzaului,Intorsura Buzaului,3.9,15,0,12,500,FOREST,NONE,ALL,5,V,5.5,5.42857142857143,3.85714285714286,14.7285714285714,17,5,0,5,2,1 long day,3880,3580,3280,2990,Low quiet hills. Very few trains.,,,
154,Siriu,Lacul Vulturilor,Nehoiasu,Nehoiasu,4.5,20,30,12,1000,TRAIL,STEEP,JUN-OCT,4,V,6.3,6.85714285714286,4.85714285714286,18.5238095238095,22,6,3,6,3,2 days,5620,5180,4750,4320,VERIFY the train first. Bus from Nehoiu.,,,
155,Siriu,Varful Malaia (1663),Nehoiasu,Nehoiasu,4.5,20,30,14,1100,TRAIL,STEEP,JUN-OCT,5,V,6.3,7.80952380952381,5.53333333333333,19.4761904761905,25,6,3,6,3,2 days,6400,5900,5410,4920,Long day if the train runs.,,,
156,Siriu,Cascada Balbaitoarea,Nehoiasu,Nehoiasu,4.5,20,30,8,400,FOREST,NONE,MAY-OCT,5,V,5.5,3.80952380952381,2.70476190476191,15.4761904761905,12,4,0,4,2,2 days,2720,2510,2300,2100,Short walk to the waterfall.,,,
157,Persani,Magura Codlei (1292),Codlea,Codlea,3,20,0,10,700,ROCKY,STEEP,MAY-OCT,5,M,7,5.33333333333333,3.78095238095238,13,17,5,3,5,2,1 day,4850,4480,4110,3730,Isolated peak above the town. Empty.,,,
158,Persani,Codlea - Cetatea Neagra forest loop,Codlea,Codlea,3,15,0,8,350,FOREST,NONE,ALL,5,V,5.5,3.66666666666667,2.6047619047619,11.1666666666667,11.5,3,0,3,1,1 day,2620,2420,2220,2020,Short hill circuit.,,,
159,Persani,Vladeni - Persani hills,Vladeni,Vladeni,3.2,15,0,12,450,FOREST,NONE,ALL,5,V,5.5,5.28571428571429,3.75714285714286,13.1857142857143,16.5,5,0,5,2,1 long day,3780,3490,3200,2910,Little documented. Map required.,,,
160,Fagaras,Ucea - Victoria - Cabana Turnuri,Ucea de Jos,Ucea de Jos,4,30,45,12,900,TRAIL,STEEP,JUL-SEP,4,V,6.3,6.57142857142857,4.65714285714286,18.0714285714286,21,6,3,6,3,2 days,5380,4970,4550,4140,Bus to Victoria. Overnight at the cabana.,,,
161,Fagaras,Valea Doamnei - Balea Lac,Ucea de Jos,Ucea de Jos,4,30,45,18,1500,ROCKY,STEEP,JUL-SEP,4,V,7,10.2857142857143,7.28571428571429,21.7857142857143,33,7,3,7,3,2 days,9360,8640,7920,7200,Two days. High mountain weather.,,,
162,Fagaras,Porumbacu - Cabana Negoiu,Porumbacu de Jos,Porumbacu de Jos,4.4,30,40,14,1200,TRAIL,STEEP,JUL-SEP,4,V,6.3,8.0952380952381,5.73333333333333,20.2285714285714,26,6,3,6,3,2 days,6630,6120,5610,5100,Base for Negoiu. Two days.,,,
163,Fagaras,Avrig - Lacul Avrig - Varful Suru,Avrig,Avrig,4.6,30,40,20,1600,ROCKY,SCRAMBLE,JUL-SEP,5,V,7,11.2380952380952,7.96190476190476,23.7714285714286,36,8,6,8,4,2 days,10230,9440,8650,7870,Quiet west end of Fagaras. Two days.,,,
164,Bucharest area,Comana natural park loop,Comana,Comana,1,10,0,12,50,FLAT,NONE,ALL,4,M,4,4.14285714285714,2.95714285714286,7.47619047619048,12.5,4,0,4,2,1 day,2150,1990,1820,1660,"One hour by train. Flat, all year.",,,
165,Bucharest area,Comana - Padina Tatarului long loop,Comana,Comana,1,10,0,16,60,FLAT,NONE,ALL,4,M,4,5.50476190476191,3.92952380952381,8.83809523809524,16.6,5,0,5,2,1 day,2860,2640,2420,2200,Use this to build 4 h on your feet.,,,
166,Bucharest area,Mogosoaia lake circuit,Mogosoaia,Mogosoaia,0.4,5,0,8,20,FLAT,NONE,ALL,3,V,4,2.72380952380952,1.9447619047619,4.69047619047619,8.2,2,0,2,1,1 day,1420,1310,1200,1090,Halt service needs checking.,,,
167,Bucharest area,Buftea lake and forest,Buftea,Buftea,0.6,5,0,10,30,FLAT,NONE,ALL,4,M,4,3.41904761904762,2.44095238095238,5.78571428571429,10.3,3,0,3,1,1 day,1780,1640,1500,1370,"Short train, flat ground.",,,
168,Bucegi,Sinaia - Cota 1400 - Piatra Arsa - Babele,Sinaia,Busteni,1.8,5,0,22,1400,TRAIL,NONE,JUL-SEP,2,M,6.3,11.3333333333333,8.03809523809524,16.1,36,8,0,8,4,2 days,9280,8570,7850,7140,"Long plateau day, cable car down.",,,
169,Bucegi,Busteni - Babele - Pestera - Padina,Busteni,Pietrosita,2.9,10,50,18,1400,ROCKY,CHAINS,JUL-SEP,3,V,7,10,7.08571428571429,18.8,32,7,5,7,3,2 days,9100,8400,7700,7000,Crosses the massif west. Two days is safer.,,,
170,Bucegi,Diham - Pichetul Rosu - Malaiesti,Busteni,Rasnov,3.1,25,0,20,1200,TRAIL,NONE,JUL-SEP,3,M,6.3,10.0952380952381,7.16190476190476,18.1285714285714,32,7,0,7,3,2 days,8270,7630,7000,6360,"North crossing, two stations.",,,
171,Baiului,Azuga - Susai - Clabucet - Predeal,Azuga,Predeal,2,10,0,14,800,TRAIL,NONE,APR-NOV,4,M,6.3,6.95238095238095,4.93333333333333,12.2857142857143,22,6,0,6,3,1 day,5690,5260,4820,4380,Two summits between two stations.,,,
172,Baiului,Predeal - Fitifoi - Garbova ridge - Azuga,Predeal,Azuga,2,10,0,19,1000,TRAIL,NONE,JUN-OCT,5,M,6.3,9.19047619047619,6.52380952380952,14.5238095238095,29,7,0,7,3,1 long day,7530,6950,6370,5790,Long quiet ridge alternative.,,,
173,Bucegi,Sinaia - Vanturis - Saua Varfului cu Dor,Sinaia,Sinaia,1.6,20,0,17,1200,TRAIL,STEEP,JUL-SEP,4,M,6.3,9.0952380952381,6.44761904761905,13.9619047619048,29,7,3,7,3,1 long day,7450,6880,6300,5730,Waterfall then the ridge above it.,,,
174,Bucegi,Busteni - Urlatoarea - Jepii Mari - Piatra Arsa,Busteni,Busteni,1.8,20,0,13,1300,ROCKY,STEEP,JUL-SEP,3,M,7,8.04761904761905,5.69523809523809,13.3142857142857,26,6,3,6,3,1 long day,7320,6760,6200,5630,Combines the easy and the steep.,,,
175,Piatra Mare,Sapte Scari - Piatra Mare - Sapte Scari loop,Timisu de Jos,Timisu de Jos,2.2,25,0,16,1000,ROCKY,LADDERS,JUN-OCT,3,M,7,8.19047619047619,5.80952380952381,14.4238095238095,26,6,4,6,3,1 long day,7450,6880,6310,5730,"Ladders up, forest road down.",,,
176,Postavaru,Poiana Brasov - Postavaru - Rasnov,Brasov,Rasnov,3.1,25,0,18,900,TRAIL,STEEP,JUN-OCT,3,M,6.3,8.57142857142857,6.08571428571429,16.6047619047619,27,7,3,7,3,2 days,7020,6480,5940,5400,"Over the top, down to the fortress.",,,
177,Piatra Craiului,Zarnesti - Curmatura - Piatra Mica - Magura,Zarnesti,Zarnesti,3.4,40,0,19,1100,ROCKY,CHAINS,JUN-OCT,3,M,7,9.47619047619048,6.72380952380952,18.6095238095238,30,7,5,7,3,2 days,8620,7960,7300,6630,Ridge and village in one day.,,,
178,Ciucas,Cheia - Bratocea - Muntele Rosu loop,Maneciu,Maneciu,2.7,10,35,15,950,ROCKY,SCRAMBLE,JUN-OCT,3,M,7,7.71428571428571,5.47142857142857,15.6142857142857,24.5,6,6,6,3,2 days,7020,6480,5940,5400,Full circuit of the main summits.,,,
179,Bucegi,Omu - Valea Cerbului - Busteni (descent day),Busteni,Busteni,1.8,20,0,9,100,ROCKY,STEEP,JUL-SEP,3,H,7,3.28571428571429,2.34285714285714,8.55238095238095,10,3,3,3,1,1 day,2990,2760,2530,2300,Day 2 descent after a night at Omu.,,,
180,Bucegi,Malaiesti - Valea Glajeriei - Rasnov (descent day),Rasnov,Rasnov,3.1,25,0,14,100,TRAIL,NONE,JUN-OCT,4,M,6.3,4.95238095238095,3.53333333333333,12.9857142857143,15,4,0,4,2,1 day,4060,3740,3430,3120,Day 2 descent after Malaiesti.,,,
181,Baiului,Sinaia - Zamora - Busteni low ridge,Sinaia,Busteni,1.8,15,0,16,800,FOREST,NONE,APR-NOV,5,M,5.5,7.61904761904762,5.40952380952381,12.7190476190476,24,6,0,6,3,1 day,5450,5030,4610,4190,Shoulder-season ridge below the snow line.,,,
182,Piatra Mare,Timisu de Jos - Piatra Mare - Sacele,Timisu de Jos,Sacele,3.1,25,0,19,1100,ROCKY,STEEP,JUN-OCT,5,V,7,9.47619047619048,6.72380952380952,17.5095238095238,30,7,3,7,3,2 days,8620,7960,7300,6630,East descent. Check the Sacele trains.,,,
183,Postavaru,Brasov - Tampa - Poiana Brasov - Postavaru,Brasov,Brasov,2.6,20,0,20,1300,TRAIL,STEEP,JUN-OCT,3,M,6.3,10.3809523809524,7.36190476190476,17.247619047619,33,7,3,7,3,2 days,8500,7850,7190,6540,Everything on foot from the station.,,,
184,Persani,Rasnov - Cheile Rasnoavei - Predeal,Rasnov,Predeal,3.1,20,0,18,600,TRAIL,NONE,APR-NOV,4,M,6.3,7.71428571428571,5.48571428571429,15.5809523809524,24,6,0,6,3,2 days,6320,5830,5350,4860,Gorge plus the forest crossing.,,,
185,Piatra Craiului,Plaiul Foii - Curmatura Foii - Zarnesti,Zarnesti,Zarnesti,3.4,10,0,22,900,TRAIL,STEEP,JUN-OCT,4,V,6.3,9.90476190476191,7.03809523809524,18.0380952380952,31,7,3,7,3,2 days,8110,7490,6860,6240,Round the north end of the ridge.,,,
